nirf_id,program_level,intake_year,first_year_intake,first_year_admitted,lateral_entry_year,lateral_entry_count,graduating_year,graduating_min_time,students_placed,median_salary,students_higher_studies
IR-E-C-16591,UG,2019-20,360,157,2020-21,25,2022-23,101,100,220000,1
IR-E-C-16591,UG,2020-21,360,201,2021-22,13,2023-24,126,110,226800,5
IR-E-C-16477,UG,2018-19,360,374,2019-20,54,2021-22,350,215,360000,21
IR-E-C-16477,UG,2019-20,360,344,2020-21,27,2022-23,322,253,450000,60
IR-E-C-16477,UG,2020-21,360,332,2021-22,52,2023-24,313,188,400000,39
IR-E-C-16482,UG,2017-18,660,473,2018-19,21,2020-21,333,167,250000,21
IR-E-C-16482,UG,2018-19,660,279,2019-20,12,2021-22,223,179,314000,1
IR-E-C-16482,UG,2019-20,480,191,2020-21,19,2022-23,158,119,400000,6
IR-E-C-16482,PG,2019-20,0,0,,,2020-21,0,0,0,0
IR-E-C-16482,PG,2020-21,60,29,,,2021-22,10,0,0,0
IR-E-C-16482,PG,2021-22,60,28,,,2022-23,6,6,300000,0
IR-E-C-16487,UG,2018-19,490,298,2019-20,40,2021-22,270,236,256000,5
IR-E-C-16487,UG,2019-20,490,170,2020-21,42,2022-23,190,148,240000,19
IR-E-C-16487,UG,2020-21,490,151,2021-22,85,2023-24,152,127,205000,11
IR-E-C-16487,PG,2020-21,81,27,,,2021-22,27,0,0,0
IR-E-C-16487,PG,2021-22,81,29,,,2022-23,18,0,0,0
IR-E-C-16487,PG,2022-23,141,58,,,2023-24,47,36,232000,0
IR-E-C-16506,UG,2018-19,645,7,2019-20,6,2021-22,13,7,50000,6
IR-E-C-16506,UG,2019-20,645,6,2020-21,10,2022-23,16,10,50000,6
IR-E-C-16506,UG,2020-21,380,15,2021-22,75,2023-24,80,15,50000,65
IR-E-C-16551,UG,2018-19,720,181,2019-20,23,2021-22,187,150,390000,5
IR-E-C-16551,UG,2019-20,720,207,2020-21,14,2022-23,211,184,480000,9
IR-E-C-16551,UG,2020-21,720,154,2021-22,65,2023-24,214,154,260000,7
IR-E-C-16551,PG,2020-21,87,34,,,2021-22,33,10,280000,0
IR-E-C-16551,PG,2021-22,87,69,,,2022-23,69,52,300000,0
IR-E-C-16551,PG,2022-23,87,62,,,2023-24,57,32,207000,0
IR-E-C-16527,UG,2018-19,540,464,2019-20,16,2021-22,470,302,377298,34
IR-E-C-16527,UG,2019-20,540,495,2020-21,6,2022-23,494,256,420000,50
IR-E-C-16527,UG,2020-21,540,503,2021-22,16,2023-24,499,300,423000,52
IR-E-C-48283,UG,2018-19,420,356,2019-20,89,2021-22,414,238,400000,23
IR-E-C-48283,UG,2019-20,420,375,2020-21,71,2022-23,369,152,300000,24
IR-E-C-48283,UG,2020-21,420,340,2021-22,100,2023-24,334,259,250000,22
IR-E-C-48283,PG,2020-21,36,2,,,2021-22,2,0,0,0
IR-E-C-48283,PG,2021-22,54,10,,,2022-23,9,2,300000,0
IR-E-C-48283,PG,2022-23,54,8,,,2023-24,7,3,240000,0
IR-E-C-16473,UG,2017-18,720,208,2018-19,36,2020-21,202,171,300000,14
IR-E-C-16473,UG,2018-19,540,182,2019-20,38,2021-22,175,162,310000,6
IR-E-C-16473,UG,2019-20,450,166,2020-21,25,2022-23,152,86,350000,3
IR-E-C-16473,PG,2019-20,84,28,,,2020-21,23,18,310000,1
IR-E-C-16473,PG,2020-21,84,17,,,2021-22,12,10,305000,0
IR-E-C-16473,PG,2021-22,84,53,,,2022-23,45,11,350000,0
IR-E-C-16614,UG,2018-19,780,716,2019-20,70,2021-22,773,462,383000,71
IR-E-C-16614,UG,2019-20,780,667,2020-21,54,2022-23,717,369,442000,69
IR-E-C-16614,UG,2020-21,780,692,2021-22,67,2023-24,727,519,550000,109
IR-E-C-16614,PG,2020-21,45,2,,,2021-22,2,2,500000,0
IR-E-C-16614,PG,2021-22,45,6,,,2022-23,6,1,500000,0
IR-E-C-16614,PG,2022-23,27,1,,,2023-24,1,1,400000,0
IR-E-C-1377,UG,2018-19,900,573,2019-20,102,2021-22,546,295,475000,14
