nirf_id,academic_year,library,lab_equipment_software,engineering_workshops,studios,other_capital_assets
IR-E-C-25016,2023-24,35000,83142,,,2890800
IR-E-C-25016,2022-23,28650,25000,,,2504631
IR-E-C-25016,2021-22,18869,12100,,,2453489
IR-E-C-25007,2023-24,547689,3181817,,,2342085
IR-E-C-25007,2022-23,391251,1242667,,,669534
IR-E-C-25007,2021-22,582430,333876,,,366510
IR-E-C-25028,2022-23,3254300,15225525,,,65556000
IR-E-C-25028,2021-22,2776520,11462695,,,60765000
IR-E-C-25028,2020-21,2072150,1825610,,,1785000
IR-E-C-25004,2024-25,355678,1250000,,,9537125
IR-E-C-25004,2023-24,374168,850000,,,8411871
IR-E-C-25004,2022-23,612559,522890,,,187030
IR-E-C-24993,2023-24,1057792,1544789,,,585416
IR-E-C-24993,2022-23,1731000,4112452,,,4923915
IR-E-C-24993,2021-22,1822500,1827000,,,1075005
IR-E-C-24984,2023-24,4298000,7611700,,,34610165
IR-E-C-24984,2022-23,1746760,5288130,,,18611595
IR-E-C-24984,2021-22,1467751,1222062,,,3542000
IR-E-C-50925,2023-24,3435341,2699653,,,26590250
IR-E-C-50925,2022-23,3525448,2434943,,,78188699
IR-E-C-50925,2021-22,843194,791992,,,814035
IR-E-C-25012,2023-24,1662276,9697438,,,11907900
IR-E-C-25012,2022-23,12648659,1990081,,,57400000
IR-E-C-25012,2021-22,13400,189000,,,58400000
IR-E-C-25046,2023-24,3626314,3262475,,,14367708
IR-E-C-25046,2022-23,3689975,4406809,,,24348515
IR-E-C-25046,2021-22,913943,4425004,,,2196385
IR-E-U-0443,2023-24,465144,2389937,,,7562627
IR-E-U-0443,2022-23,245052,1953595,,,9407420
IR-E-U-0443,2021-22,762078,990632,,,1281773
IR-E-C-25010,2023-24,293336,1046845,,,1821601
IR-E-C-25010,2022-23,318667,3129269,,,
IR-E-C-25010,2021-22,414647,12181015,,,
IR-E-C-25006,2024-25,494344,7794606,,,14201774
IR-E-C-25006,2023-24,1458285,7958312,,,7278873
IR-E-C-25006,2022-23,1792192,11079293,,,5913935
IR-E-C-25022,2023-24,300000,500000,,,500000
IR-E-C-25022,2022-23,300000,500000,,,500000
IR-E-C-25022,2021-22,300000,500000,,,500000
IR-E-C-16537,2024-25,15138014,34337454,,,168288344
IR-E-C-16537,2023-24,14905787,43016973,,,94943232
IR-E-C-16537,2022-23,12124438,21190541,,,82437263
IR-E-I-1119,2023-24,873167,3918119,,,3041275
IR-E-I-1119,2022-23,833344,1331000,,,3410000
IR-E-I-1119,2021-22,293889,1087936,,,447905
IR-E-C-25043,2022-23,269535,5560000,,,987800
IR-E-C-25043,2021-22,1105568,826000,,,3635000
IR-E-C-25043,2020-21,1034249,,,,925000
IR-E-C-25031,2023-24,197140,156708,,,596680
IR-E-C-25031,2022-23,133570,71432,,,371563
IR-E-C-25031,2021-22,1277754,114119,,,97400
IR-E-C-25069,2023-24,195840,1135640,,,742550
IR-E-C-25069,2022-23,195840,907328,,,755402
IR-E-C-25069,2021-22,173454,2904570,,,888708
IR-E-C-16503,2023-24,1727751,15000,,,134985
IR-E-C-16503,2022-23,132980,1428951,,,620526
IR-E-C-16503,2021-22,,168000,,,156819
IR-E-C-25005,2023-24,65000,1570000,,,500000
IR-E-C-25005,2022-23,54000,1500000,,,500000
IR-E-C-25005,2021-22,995000,2230408,,,125000
