id,counselling_code,branch,year,oc,bc,bcm,mbc,sc,sca,st
207,1211,AERONAUTICAL ENGINEERING,2021,"14,398","23,145","18,668","21,276","65,632",—,—
208,1211,AUTOMOBILE ENGINEERING,2021,"42,551","48,552","63,498","51,765","93,140",—,—
209,1211,Artificial Intelligence and Machine Learning,2021,"8,204","9,644","11,566","9,128","47,424","75,645","68,364"
210,1211,BIO MEDICAL ENGINEERING,2021,"8,988","17,902","9,074","13,953","56,739","25,687",—
211,1211,BIO TECHNOLOGY,2021,"12,588","20,880","40,882","23,580","70,963","98,749",—
212,1211,CHEMICAL ENGINEERING,2021,"21,977","39,870","29,444","29,999","82,812",—,—
213,1211,CIVIL ENGINEERING,2021,"38,402","45,208","47,702","62,407","74,737",—,—
214,1211,COMPUTER SCIENCE AND BUSSINESS SYSTEM,2021,"7,578","10,135","12,242","11,828","46,375",—,—
215,1211,COMPUTER SCIENCE AND DESIGN,2021,"9,793","13,511","15,937",—,"56,587","113,120",—
216,1211,COMPUTER SCIENCE AND ENGINEERING,2021,"4,259","6,396","9,465","5,590","31,244","87,902","25,783"
217,1211,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,"16,425","21,803","28,876","19,809","64,296",—,—
218,1211,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,"7,783","10,083","14,863","11,810","44,873","98,043","33,053"
219,1211,FOOD TECHNOLOGY,2021,"16,467","26,949","26,128","28,766","48,316",—,—
220,1211,INFORMATION TECHNOLOGY,2021,"6,620","7,734","11,136","6,901","36,893","65,958","99,701"
221,1211,MECHANICAL ENGINEERING,2021,"29,406","38,529","40,892","44,026","95,359",—,—
222,1211,Mechatronics Engineering,2021,"26,084","31,530","34,273",—,"82,761",—,—
223,1211,ROBOTICS AND AUTOMATION,2021,"17,882","21,585","18,473","25,921","76,405",—,—
224,1212,AUTOMOBILE ENGINEERING,2021,—,—,—,—,—,—,—
225,1212,BIO MEDICAL ENGINEERING,2021,"115,005",—,—,"120,774","136,018*","116,738",—
226,1212,COMPUTER SCIENCE AND ENGINEERING,2021,"82,773","127,989",—,—,"128,182",—,—
227,1212,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,"132,066*",—,—,—,—,—,—
228,1212,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,"129,195","135,548*",—,—,—,—,—
229,1212,MECHANICAL ENGINEERING,2021,"135,812*",—,—,—,—,—,—
230,1212,PETROLEUM ENGINEERING,2021,"117,999","134,222*",—,—,"135,828*",—,—
231,1216,AGRICULTURE ENGINEERING,2021,"36,739","76,032","39,300","63,733","82,957",—,—
232,1216,Artificial Intelligence and Data Science,2021,"27,660","32,648","38,196","38,709","86,040","133,439*",—
233,1216,Artificial Intelligence and Machine Learning,2021,"29,742","34,653","33,890","32,521","88,623",—,—
234,1216,BIO MEDICAL ENGINEERING,2021,"18,551","26,017","32,074","19,860","69,171","102,037",—
235,1216,CHEMICAL ENGINEERING,2021,"42,940","61,563","100,690","52,326","122,241",—,—
236,1216,CIVIL ENGINEERING,2021,"73,685","91,155",—,"76,708","134,108",—,—
237,1216,COMPUTER SCIENCE AND ENGINEERING,2021,"17,564","24,849","34,835","26,649","78,141","115,811*",—
238,1216,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,"42,720","54,073","78,628","43,835","107,327",—,—
239,1216,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,"35,677","42,621","52,973","48,083","107,919",—,"103,759"
240,1216,ELECTRONICS AND INSTRUMENTATION ENGINEERING,2021,"49,433","56,926","75,612",—,"123,278",—,—
241,1216,INFORMATION TECHNOLOGY,2021,"22,532","26,950","23,740","24,698","66,439","126,863",—
242,1216,MECHANICAL ENGINEERING,2021,"61,491","86,552","106,125","81,620","126,538",—,—
243,1216,MEDICAL ELECTRONICS ENGINEERING,2021,"56,463","79,947","66,242","66,083","130,439",—,—
244,1217,AUTOMOBILE ENGINEERING,2021,"132,541*",—,—,—,—,—,—
245,1217,Artificial Intelligence and Data Science,2021,"55,058","64,160","61,145","71,938","126,661",—,—
246,1217,BIO MEDICAL ENGINEERING,2021,"91,085","135,521*",—,—,"125,777*",—,—
247,1217,BIO TECHNOLOGY,2021,"54,504","94,973","130,952",—,"121,732",—,—
248,1217,CIVIL ENGINEERING,2021,"38,184*",—,—,—,—,—,—
249,1217,COMPUTER SCIENCE AND ENGINEERING,2021,"44,402","56,215","60,853","67,789","108,848",—,—
