nirf_id,program_level,program_duration,academic_year,sanctioned_intake
IR-E-C-36956,UG,4 Years,2022-23,300
IR-E-C-36956,UG,4 Years,2021-22,270
IR-E-C-36956,UG,4 Years,2020-21,270
IR-E-C-36956,PG,2 Years,2023-24,30
IR-E-C-36956,PG,2 Years,2022-23,12
IR-E-C-16580,UG,4 Years,2021-22,180
IR-E-C-16580,UG,4 Years,2020-21,480
IR-E-C-16580,UG,4 Years,2019-20,480
IR-E-C-16580,UG,4 Years,2018-19,480
IR-E-C-37016,UG,4 Years,2023-24,450
IR-E-C-37016,UG,4 Years,2022-23,480
IR-E-C-37016,UG,4 Years,2021-22,480
IR-E-C-37016,UG,4 Years,2020-21,480
IR-E-C-37016,PG,2 Years,2023-24,54
IR-E-C-37016,PG,2 Years,2022-23,72
IR-E-C-37099,UG,4 Years,2023-24,1080
IR-E-C-37099,UG,4 Years,2022-23,1020
IR-E-C-37099,UG,4 Years,2021-22,930
IR-E-C-37099,UG,4 Years,2020-21,750
IR-E-C-37099,PG,2 Years,2023-24,174
IR-E-C-37099,PG,2 Years,2022-23,150
IR-E-C-37063,UG,4 Years,2023-24,1230
IR-E-C-37063,UG,4 Years,2022-23,1230
IR-E-C-37063,UG,4 Years,2021-22,1230
IR-E-C-37063,UG,4 Years,2020-21,1440
IR-E-C-37063,PG,2 Years,2023-24,81
IR-E-C-37063,PG,2 Years,2022-23,81
IR-E-C-36974,UG,4 Years,2022-23,462
IR-E-C-36974,UG,4 Years,2021-22,462
IR-E-C-36974,UG,4 Years,2020-21,462
IR-E-C-36974,UG,4 Years,2019-20,462
IR-E-C-36974,PG,2 Years,2022-23,36
IR-E-C-36974,PG,2 Years,2021-22,36
IR-E-C-37065,UG,4 Years,2024-25,1770
IR-E-C-37065,UG,4 Years,2023-24,1770
IR-E-C-37065,UG,4 Years,2022-23,1800
IR-E-C-37065,UG,4 Years,2021-22,1620
IR-E-C-37065,PG,2 Years,2024-25,48
IR-E-C-37065,PG,2 Years,2023-24,42
IR-E-C-36926,UG,4 Years,2023-24,1461
IR-E-C-36926,UG,4 Years,2022-23,1431
IR-E-C-36926,UG,4 Years,2021-22,1260
IR-E-C-36926,UG,4 Years,2020-21,1320
IR-E-C-36926,PG,2 Years,2023-24,186
IR-E-C-36926,PG,2 Years,2022-23,240
IR-E-C-36958,UG,4 Years,2023-24,900
IR-E-C-36958,UG,4 Years,2022-23,840
IR-E-C-36958,UG,4 Years,2021-22,780
IR-E-C-36958,UG,4 Years,2020-21,720
IR-E-C-36958,PG,2 Years,2023-24,24
IR-E-C-36958,PG,2 Years,2022-23,24
IR-E-C-37015,UG,4 Years,2023-24,720
IR-E-C-37015,UG,4 Years,2022-23,780
